time_iso8601,stars_cumulative
2020-11-13 00:00:00+00:00,194
2020-11-19 00:00:00+00:00,195
2020-11-20 00:00:00+00:00,196
2020-11-22 00:00:00+00:00,197
2020-11-24 00:00:00+00:00,198
2020-11-28 00:00:00+00:00,199
2020-11-29 00:00:00+00:00,200
2020-11-30 00:00:00+00:00,201
2020-12-04 00:00:00+00:00,203
2020-12-05 00:00:00+00:00,204
2020-12-08 00:00:00+00:00,206
2020-12-09 00:00:00+00:00,207
2020-12-14 00:00:00+00:00,208
2020-12-17 00:00:00+00:00,209
2020-12-19 00:00:00+00:00,210
2020-12-20 00:00:00+00:00,212
2020-12-23 00:00:00+00:00,213
2020-12-26 00:00:00+00:00,214
2020-12-30 00:00:00+00:00,216
2020-12-31 00:00:00+00:00,217
2021-01-02 00:00:00+00:00,218
2021-01-04 00:00:00+00:00,219
2021-01-07 00:00:00+00:00,220
2021-01-13 00:00:00+00:00,221
2021-01-18 00:00:00+00:00,222
2021-01-22 00:00:00+00:00,223
2021-01-23 00:00:00+00:00,224
2021-01-24 00:00:00+00:00,225
2021-02-04 00:00:00+00:00,227
2021-02-05 00:00:00+00:00,228
2021-02-06 00:00:00+00:00,229
2021-02-07 00:00:00+00:00,230
2021-02-17 00:00:00+00:00,231
2021-02-18 00:00:00+00:00,232
2021-02-23 00:00:00+00:00,233
2021-02-24 00:00:00+00:00,235
2021-03-02 00:00:00+00:00,237
2021-03-05 00:00:00+00:00,238
2021-03-10 00:00:00+00:00,239
2021-03-11 00:00:00+00:00,240
2021-03-12 00:00:00+00:00,241
2021-03-23 00:00:00+00:00,242
2021-03-28 00:00:00+00:00,243
2021-03-29 00:00:00+00:00,244
2021-03-31 00:00:00+00:00,245
2021-04-01 00:00:00+00:00,246
2021-04-03 00:00:00+00:00,247
2021-04-04 00:00:00+00:00,248
2021-04-08 00:00:00+00:00,249
2021-04-09 00:00:00+00:00,250
2021-04-15 00:00:00+00:00,252
2021-04-22 00:00:00+00:00,253
2021-04-26 00:00:00+00:00,254
2021-05-06 00:00:00+00:00,255
2021-05-13 00:00:00+00:00,256
2021-05-18 00:00:00+00:00,257
