referrer,views_total,views_unique
github.com,314,57
Google,154,53
docs.boltcms.io,63,30
boltcms.io,25,13
t.co,13,8
roadmap.boltcms.io,4,3
tomasvotruba.com,2,1
cvedetails.com,2,1
Bing,2,1
en.wikipedia.org,1,1
