referrer,views_total,views_unique
github.com,236,122
Google,82,57
docs.bolt.cm,47,39
roadmap.boltcms.io,31,17
boltcms.io,25,16
en.wikipedia.org,5,3
cve.mitre.org,5,1
t.co,4,4
packagist.org,2,2
news.sun-asterisk.com,2,1
