referrer,views_total,views_unique
github.com,580,85
Google,236,90
docs.boltcms.io,108,40
boltcms.io,30,17
roadmap.boltcms.io,20,10
t.co,14,9
github.community,8,1
jvndb.jvn.jp,7,5
DuckDuckGo,2,2
Bing,2,1
