referrer,views_total,views_unique
github.com,210,135
Google,89,72
docs.bolt.cm,60,45
roadmap.boltcms.io,41,21
boltcms.io,21,20
en.wikipedia.org,10,8
awesomeopensource.com,2,2
t.co,2,2
brandworktestpp.co.uk,2,1
mail.google.com,2,1
