referrer,views_total,views_unique
github.com,205,118
Google,71,56
docs.bolt.cm,48,33
roadmap.boltcms.io,38,21
boltcms.io,29,23
en.wikipedia.org,4,2
packagist.org,3,3
t.co,2,2
alternativas.culturaleon.com,2,1
cve.mitre.org,2,1
