time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-30 00:00:00+00:00,14,2,186,37
2021-07-01 00:00:00+00:00,85,8,201,42
2021-07-02 00:00:00+00:00,161,8,317,35
2021-07-03 00:00:00+00:00,3,3,62,17
2021-07-04 00:00:00+00:00,1,1,69,16
2021-07-05 00:00:00+00:00,254,8,324,36
2021-07-06 00:00:00+00:00,189,6,313,39
2021-07-07 00:00:00+00:00,100,6,176,36
2021-07-08 00:00:00+00:00,560,6,370,44
2021-07-09 00:00:00+00:00,179,6,278,39
2021-07-10 00:00:00+00:00,1,1,45,11
2021-07-11 00:00:00+00:00,2,2,99,17
2021-07-12 00:00:00+00:00,115,4,92,30
2021-07-13 00:00:00+00:00,6,4,204,35
