referrer,views_total,views_unique
github.com,197,120
Google,73,56
docs.bolt.cm,49,36
roadmap.boltcms.io,27,15
boltcms.io,25,15
t.co,4,3
alexei-cioina.b9ad.pro-us-east-1.openshiftapps.com,3,1
en.wikipedia.org,2,2
awesomeopensource.com,2,1
StartPage,1,1
