referrer,views_total,views_unique
github.com,398,73
Google,195,87
docs.boltcms.io,72,37
boltcms.io,34,19
roadmap.boltcms.io,18,6
t.co,14,9
en.wikipedia.org,4,2
tomasvotruba.com,3,2
Bing,2,1
cvedetails.com,2,1
