referrer,views_total,views_unique
github.com,231,120
Google,110,81
docs.bolt.cm,55,43
boltcms.io,36,27
roadmap.boltcms.io,34,22
api-docs.boltcms.io,12,2
en.wikipedia.org,8,6
github.community,3,3
pk.rusoil.net,2,2
packagist.org,2,1
