time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-20 00:00:00+00:00,1.0,1.0,17,10
2021-06-21 00:00:00+00:00,49.0,5.0,353,33
2021-06-22 00:00:00+00:00,37.0,3.0,208,36
2021-06-23 00:00:00+00:00,13.0,1.0,132,39
2021-06-24 00:00:00+00:00,90.0,5.0,103,24
2021-06-25 00:00:00+00:00,99.0,9.0,146,27
2021-06-26 00:00:00+00:00,5.0,5.0,59,19
2021-06-27 00:00:00+00:00,,,71,17
2021-06-28 00:00:00+00:00,1.0,1.0,221,38
2021-06-29 00:00:00+00:00,22.0,2.0,122,25
2021-06-30 00:00:00+00:00,14.0,2.0,187,38
2021-07-01 00:00:00+00:00,85.0,8.0,201,42
2021-07-02 00:00:00+00:00,161.0,8.0,317,35
2021-07-03 00:00:00+00:00,3.0,3.0,62,17
