referrer,views_total,views_unique
github.com,221,110
Google,216,156
docs.boltcms.io,65,48
boltcms.io,64,50
en.m.wikipedia.org,10,5
roadmap.boltcms.io,8,7
en.wikipedia.org,6,5
github.community,5,5
t.co,4,4
awesomeopensource.com,4,1
