referrer,views_total,views_unique
github.com,211,93
Google,83,65
docs.bolt.cm,43,37
boltcms.io,37,25
roadmap.boltcms.io,27,18
api-docs.boltcms.io,19,3
en.wikipedia.org,4,3
github.community,3,3
DuckDuckGo,3,2
t.co,2,2
