referrer,views_total,views_unique
github.com,220,130
Google,98,71
docs.bolt.cm,54,44
roadmap.boltcms.io,35,18
boltcms.io,26,22
en.wikipedia.org,12,9
github.community,4,4
t.co,3,3
com.google.android.gm,3,2
pk.rusoil.net,2,2
