referrer,views_total,views_unique
github.com,710,116
Google,255,139
docs.boltcms.io,144,41
boltcms.io,63,17
awesomeopensource.com,56,1
roadmap.boltcms.io,39,12
jvndb.jvn.jp,5,2
nvd.nist.gov,3,2
DuckDuckGo,2,2
en.wikipedia.org,2,2
