referrer,views_total,views_unique
github.com,384,67
Google,184,77
docs.boltcms.io,68,33
boltcms.io,30,16
roadmap.boltcms.io,18,6
t.co,14,9
en.wikipedia.org,4,2
tomasvotruba.com,3,2
Bing,2,1
cvedetails.com,2,1
