referrer,views_total,views_unique
github.com,217,102
Google,99,80
docs.bolt.cm,44,38
boltcms.io,38,27
roadmap.boltcms.io,36,24
api-docs.boltcms.io,19,3
en.wikipedia.org,4,3
github.community,4,3
t.co,2,2
awesomeopensource.com,2,2
