referrer,views_total,views_unique
github.com,197,111
Google,105,76
docs.bolt.cm,52,40
roadmap.boltcms.io,34,22
boltcms.io,32,24
en.wikipedia.org,8,6
api-docs.boltcms.io,8,2
github.community,3,3
pk.rusoil.net,2,2
parafia.mikolajki.pl,2,1
