referrer,views_total,views_unique
github.com,447,77
Google,180,72
docs.boltcms.io,70,36
boltcms.io,29,16
roadmap.boltcms.io,18,6
t.co,13,8
github.community,8,1
en.wikipedia.org,2,2
cvedetails.com,2,1
Bing,2,1
