referrer,views_total,views_unique
github.com,205,116
Google,75,60
docs.bolt.cm,58,44
roadmap.boltcms.io,44,23
boltcms.io,27,22
en.wikipedia.org,8,4
t.co,4,4
packagist.org,3,3
news.sun-asterisk.com,2,1
cve.mitre.org,2,1
