referrer,views_total,views_unique
github.com,388,69
Google,185,78
docs.boltcms.io,69,34
boltcms.io,31,17
roadmap.boltcms.io,18,6
t.co,14,9
en.wikipedia.org,4,2
tomasvotruba.com,3,2
Bing,2,1
cvedetails.com,2,1
