referrer,views_total,views_unique
github.com,241,128
Google,91,70
docs.bolt.cm,47,36
roadmap.boltcms.io,37,19
boltcms.io,32,22
cve.mitre.org,7,1
t.co,4,4
en.wikipedia.org,4,2
packagist.org,2,2
alternativas.culturaleon.com,2,1
