referrer,views_total,views_unique
github.com,539,96
Google,224,103
docs.boltcms.io,75,41
boltcms.io,40,25
roadmap.boltcms.io,22,8
t.co,14,9
github.community,8,1
en.wikipedia.org,4,2
Bing,2,1
cvedetails.com,2,1
