referrer,views_total,views_unique
github.com,185,124
Google,90,70
docs.bolt.cm,37,31
boltcms.io,26,20
roadmap.boltcms.io,23,14
t.co,7,6
DuckDuckGo,4,3
archplanreview.com,4,2
cve.mitre.org,4,1
alexei-cioina.b9ad.pro-us-east-1.openshiftapps.com,3,2
