time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-13 00:00:00+00:00,43.0,5.0,268,47
2021-09-14 00:00:00+00:00,190.0,5.0,357,47
2021-09-15 00:00:00+00:00,139.0,6.0,204,46
2021-09-16 00:00:00+00:00,,,204,46
2021-09-17 00:00:00+00:00,,,190,36
2021-09-18 00:00:00+00:00,,,62,22
2021-09-19 00:00:00+00:00,,,64,20
2021-09-20 00:00:00+00:00,,,249,47
2021-09-21 00:00:00+00:00,,,105,42
2021-09-22 00:00:00+00:00,,,142,36
2021-09-23 00:00:00+00:00,,,344,47
2021-09-24 00:00:00+00:00,,,210,31
2021-09-25 00:00:00+00:00,,,40,18
2021-09-26 00:00:00+00:00,,,48,19
