time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-23 00:00:00+00:00,1.0,1.0,39,14
2021-05-24 00:00:00+00:00,2.0,2.0,84,30
2021-05-25 00:00:00+00:00,84.0,4.0,173,33
2021-05-26 00:00:00+00:00,2.0,2.0,117,44
2021-05-27 00:00:00+00:00,,,81,26
2021-05-28 00:00:00+00:00,,,79,20
2021-05-29 00:00:00+00:00,19.0,4.0,91,19
2021-05-30 00:00:00+00:00,37.0,5.0,22,13
2021-05-31 00:00:00+00:00,72.0,7.0,212,43
2021-06-01 00:00:00+00:00,95.0,5.0,200,36
2021-06-02 00:00:00+00:00,40.0,4.0,117,37
2021-06-03 00:00:00+00:00,69.0,7.0,271,40
2021-06-04 00:00:00+00:00,125.0,6.0,150,35
2021-06-05 00:00:00+00:00,15.0,2.0,27,10
