time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-05 00:00:00+00:00,254.0,8.0,324,36
2021-07-06 00:00:00+00:00,189.0,6.0,313,39
2021-07-07 00:00:00+00:00,100.0,6.0,176,36
2021-07-08 00:00:00+00:00,560.0,6.0,370,44
2021-07-09 00:00:00+00:00,179.0,6.0,278,39
2021-07-10 00:00:00+00:00,1.0,1.0,45,11
2021-07-11 00:00:00+00:00,2.0,2.0,99,17
2021-07-12 00:00:00+00:00,115.0,4.0,92,30
2021-07-13 00:00:00+00:00,6.0,4.0,204,35
2021-07-14 00:00:00+00:00,24.0,3.0,192,31
2021-07-15 00:00:00+00:00,116.0,4.0,220,45
2021-07-16 00:00:00+00:00,570.0,8.0,564,34
2021-07-17 00:00:00+00:00,,,92,20
2021-07-18 00:00:00+00:00,71.0,6.0,100,16
