referrer,views_total,views_unique
github.com,163,113
Google,99,65
docs.bolt.cm,33,30
roadmap.boltcms.io,22,12
boltcms.io,18,14
DuckDuckGo,4,3
cve.mitre.org,4,1
api-docs.boltcms.io,3,2
alexei-cioina.b9ad.pro-us-east-1.openshiftapps.com,1,1
blog.jetbrains.com,1,1
