referrer,views_total,views_unique
github.com,261,143
Google,86,67
docs.bolt.cm,55,41
roadmap.boltcms.io,36,18
boltcms.io,31,21
cve.mitre.org,7,1
en.wikipedia.org,5,3
t.co,4,4
awesomeopensource.com,3,2
packagist.org,2,2
