time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-06 00:00:00+00:00,,,110,23
2021-05-07 00:00:00+00:00,1.0,1.0,208,42
2021-05-08 00:00:00+00:00,18.0,3.0,46,20
2021-05-09 00:00:00+00:00,1.0,1.0,69,17
2021-05-10 00:00:00+00:00,44.0,6.0,126,34
2021-05-11 00:00:00+00:00,426.0,9.0,371,44
2021-05-12 00:00:00+00:00,,,113,40
2021-05-13 00:00:00+00:00,11.0,3.0,83,30
2021-05-14 00:00:00+00:00,98.0,5.0,184,27
2021-05-15 00:00:00+00:00,3.0,3.0,83,17
2021-05-16 00:00:00+00:00,12.0,7.0,63,13
2021-05-17 00:00:00+00:00,119.0,8.0,305,38
2021-05-18 00:00:00+00:00,160.0,14.0,258,32
2021-05-19 00:00:00+00:00,42.0,4.0,161,35
2021-05-20 00:00:00+00:00,,,173,13
