time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-16 00:00:00+00:00,2.0,2.0,41,10
2021-10-17 00:00:00+00:00,,,61,25
2021-10-18 00:00:00+00:00,78.0,5.0,233,29
2021-10-19 00:00:00+00:00,1.0,1.0,196,38
2021-10-20 00:00:00+00:00,2.0,2.0,634,53
2021-10-21 00:00:00+00:00,605.0,6.0,850,42
2021-10-22 00:00:00+00:00,1032.0,9.0,871,47
2021-10-23 00:00:00+00:00,17.0,5.0,62,18
2021-10-24 00:00:00+00:00,242.0,7.0,372,36
2021-10-25 00:00:00+00:00,416.0,9.0,789,57
2021-10-26 00:00:00+00:00,1085.0,15.0,1249,40
2021-10-27 00:00:00+00:00,64.0,7.0,477,44
2021-10-28 00:00:00+00:00,89.0,8.0,360,67
2021-10-29 00:00:00+00:00,8.0,7.0,170,60
