referrer,views_total,views_unique
github.com,236,133
Google,103,72
docs.bolt.cm,55,43
roadmap.boltcms.io,29,14
boltcms.io,27,15
cve.mitre.org,6,2
t.co,5,4
en.wikipedia.org,2,2
awesomeopensource.com,2,1
alternativas.culturaleon.com,2,1
