referrer,views_total,views_unique
github.com,225,102
Google,88,69
docs.bolt.cm,46,39
boltcms.io,41,29
roadmap.boltcms.io,30,20
api-docs.boltcms.io,19,3
github.community,4,4
en.wikipedia.org,4,3
DuckDuckGo,3,2
t.co,2,2
