time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-20 00:00:00+00:00,8,3,634,53
2021-10-21 00:00:00+00:00,605,6,850,42
2021-10-22 00:00:00+00:00,1032,9,871,47
2021-10-23 00:00:00+00:00,17,5,62,18
2021-10-24 00:00:00+00:00,242,7,372,36
2021-10-25 00:00:00+00:00,416,9,789,57
2021-10-26 00:00:00+00:00,1085,15,1249,40
2021-10-27 00:00:00+00:00,64,7,477,44
2021-10-28 00:00:00+00:00,89,8,360,67
2021-10-29 00:00:00+00:00,8,7,170,60
2021-10-30 00:00:00+00:00,167,7,110,34
2021-10-31 00:00:00+00:00,3,3,97,38
2021-11-01 00:00:00+00:00,8,6,157,46
2021-11-02 00:00:00+00:00,49,7,364,61
