referrer,views_total,views_unique
github.com,448,76
Google,174,64
docs.boltcms.io,79,39
boltcms.io,31,17
t.co,14,9
roadmap.boltcms.io,8,5
github.community,8,1
jvndb.jvn.jp,4,3
Bing,2,1
cvedetails.com,2,1
