referrer,views_total,views_unique
github.com,227,110
Google,108,79
docs.bolt.cm,46,38
boltcms.io,41,29
roadmap.boltcms.io,34,21
api-docs.boltcms.io,19,3
en.wikipedia.org,7,5
github.community,3,3
DuckDuckGo,3,2
t.co,2,2
