time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-23 00:00:00+00:00,2.0,2.0,344,47
2021-09-24 00:00:00+00:00,93.0,7.0,210,31
2021-09-25 00:00:00+00:00,4.0,4.0,40,18
2021-09-26 00:00:00+00:00,1.0,1.0,48,19
2021-09-27 00:00:00+00:00,,,112,39
2021-09-28 00:00:00+00:00,220.0,7.0,252,54
2021-09-29 00:00:00+00:00,78.0,6.0,228,71
2021-09-30 00:00:00+00:00,28.0,3.0,162,34
2021-10-01 00:00:00+00:00,120.0,7.0,193,30
2021-10-02 00:00:00+00:00,19.0,4.0,36,12
2021-10-03 00:00:00+00:00,2.0,2.0,53,10
2021-10-04 00:00:00+00:00,34.0,8.0,162,42
2021-10-05 00:00:00+00:00,110.0,7.0,188,37
2021-10-06 00:00:00+00:00,84.0,8.0,129,34
