time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-07 00:00:00+00:00,171.0,4.0,288,52
2021-09-08 00:00:00+00:00,352.0,7.0,224,45
2021-09-09 00:00:00+00:00,43.0,4.0,198,40
2021-09-10 00:00:00+00:00,,,153,33
2021-09-11 00:00:00+00:00,1.0,1.0,92,27
2021-09-12 00:00:00+00:00,2.0,2.0,82,25
2021-09-13 00:00:00+00:00,43.0,5.0,268,47
2021-09-14 00:00:00+00:00,190.0,5.0,357,47
2021-09-15 00:00:00+00:00,139.0,6.0,204,46
2021-09-16 00:00:00+00:00,,,204,46
2021-09-17 00:00:00+00:00,,,190,36
2021-09-18 00:00:00+00:00,,,62,22
2021-09-19 00:00:00+00:00,,,64,20
2021-09-20 00:00:00+00:00,,,244,46
