referrer,views_total,views_unique
github.com,500,79
Google,192,80
docs.boltcms.io,70,36
boltcms.io,32,18
roadmap.boltcms.io,22,8
t.co,14,9
github.community,8,1
en.wikipedia.org,4,2
Bing,2,1
cvedetails.com,2,1
