referrer,views_total,views_unique
github.com,452,76
Google,153,85
docs.boltcms.io,102,25
awesomeopensource.com,22,1
boltcms.io,21,10
roadmap.boltcms.io,18,8
jvndb.jvn.jp,9,5
github.community,9,2
DuckDuckGo,2,2
hp.beget.ru,1,1
