referrer,views_total,views_unique
github.com,215,131
Google,82,65
docs.bolt.cm,50,37
roadmap.boltcms.io,27,15
boltcms.io,25,15
t.co,4,3
archplanreview.com,4,2
alexei-cioina.b9ad.pro-us-east-1.openshiftapps.com,3,1
en.wikipedia.org,2,2
com.google.android.gm,2,1
