time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-12 00:00:00+00:00,93.0,7.0,310,44
2021-10-13 00:00:00+00:00,400.0,11.0,193,54
2021-10-14 00:00:00+00:00,6.0,6.0,188,45
2021-10-15 00:00:00+00:00,61.0,5.0,96,27
2021-10-16 00:00:00+00:00,2.0,2.0,41,10
2021-10-17 00:00:00+00:00,,,61,25
2021-10-18 00:00:00+00:00,78.0,5.0,233,29
2021-10-19 00:00:00+00:00,1.0,1.0,195,38
2021-10-20 00:00:00+00:00,2.0,2.0,211,25
2021-10-21 00:00:00+00:00,252.0,6.0,166,26
2021-10-22 00:00:00+00:00,326.0,9.0,298,40
2021-10-23 00:00:00+00:00,5.0,4.0,23,14
2021-10-24 00:00:00+00:00,137.0,7.0,218,28
2021-10-25 00:00:00+00:00,135.0,7.0,49,24
