time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-11 00:00:00+00:00,49.0,3.0,185,52
2021-10-12 00:00:00+00:00,93.0,7.0,310,44
2021-10-13 00:00:00+00:00,400.0,11.0,193,54
2021-10-14 00:00:00+00:00,6.0,6.0,188,45
2021-10-15 00:00:00+00:00,61.0,5.0,96,27
2021-10-16 00:00:00+00:00,2.0,2.0,41,10
2021-10-17 00:00:00+00:00,,,61,25
2021-10-18 00:00:00+00:00,78.0,5.0,233,29
2021-10-19 00:00:00+00:00,1.0,1.0,195,38
2021-10-20 00:00:00+00:00,2.0,2.0,168,22
2021-10-21 00:00:00+00:00,134.0,5.0,44,16
2021-10-22 00:00:00+00:00,323.0,9.0,90,33
2021-10-23 00:00:00+00:00,4.0,4.0,17,13
2021-10-24 00:00:00+00:00,136.0,7.0,34,21
