time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-27 00:00:00+00:00,,,71,17
2021-06-28 00:00:00+00:00,1.0,1.0,221,38
2021-06-29 00:00:00+00:00,22.0,2.0,122,25
2021-06-30 00:00:00+00:00,14.0,2.0,187,38
2021-07-01 00:00:00+00:00,85.0,8.0,201,42
2021-07-02 00:00:00+00:00,161.0,8.0,317,35
2021-07-03 00:00:00+00:00,3.0,3.0,62,17
2021-07-04 00:00:00+00:00,1.0,1.0,69,16
2021-07-05 00:00:00+00:00,254.0,8.0,324,36
2021-07-06 00:00:00+00:00,189.0,6.0,313,39
2021-07-07 00:00:00+00:00,100.0,6.0,176,36
2021-07-08 00:00:00+00:00,560.0,6.0,370,44
2021-07-09 00:00:00+00:00,179.0,6.0,278,39
2021-07-10 00:00:00+00:00,1.0,1.0,45,11
