referrer,views_total,views_unique
github.com,327,70
Google,143,81
docs.boltcms.io,99,23
awesomeopensource.com,22,1
boltcms.io,17,8
roadmap.boltcms.io,14,6
jvndb.jvn.jp,9,5
DuckDuckGo,2,2
Bing,2,1
wikiwand.com,1,1
