time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-24 00:00:00+00:00,242.0,7.0,372,36
2021-10-25 00:00:00+00:00,416.0,9.0,789,57
2021-10-26 00:00:00+00:00,1085.0,15.0,1249,40
2021-10-27 00:00:00+00:00,64.0,7.0,477,44
2021-10-28 00:00:00+00:00,89.0,8.0,360,67
2021-10-29 00:00:00+00:00,8.0,7.0,170,60
2021-10-30 00:00:00+00:00,167.0,7.0,110,34
2021-10-31 00:00:00+00:00,3.0,3.0,97,38
2021-11-01 00:00:00+00:00,8.0,6.0,157,46
2021-11-02 00:00:00+00:00,49.0,7.0,365,62
2021-11-03 00:00:00+00:00,81.0,7.0,262,43
2021-11-04 00:00:00+00:00,1.0,1.0,217,46
2021-11-05 00:00:00+00:00,1.0,1.0,161,41
2021-11-06 00:00:00+00:00,,,108,16
