time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-29 00:00:00+00:00,78.0,6.0,227,70
2021-09-30 00:00:00+00:00,28.0,3.0,162,34
2021-10-01 00:00:00+00:00,120.0,7.0,193,30
2021-10-02 00:00:00+00:00,19.0,4.0,36,12
2021-10-03 00:00:00+00:00,2.0,2.0,53,10
2021-10-04 00:00:00+00:00,34.0,8.0,162,42
2021-10-05 00:00:00+00:00,110.0,7.0,188,37
2021-10-06 00:00:00+00:00,84.0,8.0,135,37
2021-10-07 00:00:00+00:00,4.0,3.0,100,39
2021-10-08 00:00:00+00:00,20.0,5.0,69,30
2021-10-09 00:00:00+00:00,7.0,4.0,88,17
2021-10-10 00:00:00+00:00,,,39,9
2021-10-11 00:00:00+00:00,49.0,3.0,185,52
2021-10-12 00:00:00+00:00,93.0,7.0,310,44
