time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-11 00:00:00+00:00,57.0,5.0,128,33
2021-06-12 00:00:00+00:00,5.0,3.0,76,23
2021-06-13 00:00:00+00:00,48.0,5.0,71,28
2021-06-14 00:00:00+00:00,129.0,7.0,263,41
2021-06-15 00:00:00+00:00,,,156,38
2021-06-16 00:00:00+00:00,330.0,9.0,288,49
2021-06-17 00:00:00+00:00,79.0,6.0,218,35
2021-06-18 00:00:00+00:00,273.0,6.0,352,35
2021-06-19 00:00:00+00:00,2.0,2.0,56,20
2021-06-20 00:00:00+00:00,1.0,1.0,17,10
2021-06-21 00:00:00+00:00,49.0,5.0,353,33
2021-06-22 00:00:00+00:00,37.0,3.0,208,36
2021-06-23 00:00:00+00:00,13.0,1.0,132,39
2021-06-24 00:00:00+00:00,89.0,4.0,101,23
