referrer,views_total,views_unique
github.com,182,118
Google,101,72
docs.bolt.cm,39,32
roadmap.boltcms.io,30,15
boltcms.io,20,15
DuckDuckGo,4,3
openmultipleurl.com,2,1
alexei-cioina.b9ad.pro-us-east-1.openshiftapps.com,1,1
api-docs.boltcms.io,1,1
esp.preprod.appolo.fr,1,1
