time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-11 00:00:00+00:00,1,1,92.0,27.0
2021-09-12 00:00:00+00:00,2,2,82.0,25.0
2021-09-13 00:00:00+00:00,43,5,268.0,47.0
2021-09-14 00:00:00+00:00,190,5,357.0,47.0
2021-09-15 00:00:00+00:00,139,6,203.0,45.0
2021-09-16 00:00:00+00:00,207,6,,
2021-09-17 00:00:00+00:00,171,7,,
2021-09-18 00:00:00+00:00,19,4,,
2021-09-19 00:00:00+00:00,70,6,,
2021-09-20 00:00:00+00:00,166,5,,
2021-09-21 00:00:00+00:00,64,7,,
2021-09-22 00:00:00+00:00,2,2,,
2021-09-23 00:00:00+00:00,2,2,,
2021-09-24 00:00:00+00:00,93,7,,
