time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-12 00:00:00+00:00,2,2,82,25
2021-09-13 00:00:00+00:00,43,5,268,47
2021-09-14 00:00:00+00:00,190,5,357,47
2021-09-15 00:00:00+00:00,139,6,204,46
2021-09-16 00:00:00+00:00,207,6,204,46
2021-09-17 00:00:00+00:00,171,7,190,36
2021-09-18 00:00:00+00:00,19,4,62,22
2021-09-19 00:00:00+00:00,70,6,64,20
2021-09-20 00:00:00+00:00,166,5,249,47
2021-09-21 00:00:00+00:00,64,7,105,42
2021-09-22 00:00:00+00:00,2,2,142,36
2021-09-23 00:00:00+00:00,2,2,344,47
2021-09-24 00:00:00+00:00,93,7,210,31
2021-09-25 00:00:00+00:00,4,4,40,18
