time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-15 00:00:00+00:00,116.0,4.0,220,45
2021-07-16 00:00:00+00:00,570.0,8.0,564,34
2021-07-17 00:00:00+00:00,,,92,20
2021-07-18 00:00:00+00:00,71.0,6.0,102,16
2021-07-19 00:00:00+00:00,101.0,6.0,228,35
2021-07-20 00:00:00+00:00,71.0,5.0,263,31
2021-07-21 00:00:00+00:00,19.0,3.0,128,29
2021-07-22 00:00:00+00:00,237.0,10.0,191,23
2021-07-23 00:00:00+00:00,236.0,6.0,270,47
2021-07-24 00:00:00+00:00,18.0,3.0,109,21
2021-07-25 00:00:00+00:00,64.0,7.0,55,13
2021-07-26 00:00:00+00:00,92.0,8.0,113,44
2021-07-27 00:00:00+00:00,52.0,8.0,221,43
2021-07-28 00:00:00+00:00,1.0,1.0,149,40
