referrer,views_total,views_unique
github.com,253,137
Google,91,70
docs.bolt.cm,51,40
roadmap.boltcms.io,37,19
boltcms.io,32,22
cve.mitre.org,7,1
en.wikipedia.org,5,3
t.co,4,4
awesomeopensource.com,3,2
DuckDuckGo,2,2
