time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-14 00:00:00+00:00,98.0,5.0,184,27
2021-05-15 00:00:00+00:00,3.0,3.0,83,17
2021-05-16 00:00:00+00:00,12.0,7.0,63,13
2021-05-17 00:00:00+00:00,119.0,8.0,305,38
2021-05-18 00:00:00+00:00,160.0,14.0,258,32
2021-05-19 00:00:00+00:00,42.0,4.0,161,35
2021-05-20 00:00:00+00:00,44.0,3.0,343,31
2021-05-21 00:00:00+00:00,19.0,4.0,111,29
2021-05-22 00:00:00+00:00,3.0,3.0,47,20
2021-05-23 00:00:00+00:00,1.0,1.0,39,14
2021-05-24 00:00:00+00:00,2.0,2.0,84,30
2021-05-25 00:00:00+00:00,84.0,4.0,173,33
2021-05-26 00:00:00+00:00,2.0,2.0,117,44
2021-05-27 00:00:00+00:00,,,77,25
