time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-16 00:00:00+00:00,207.0,6.0,203,45
2021-09-17 00:00:00+00:00,171.0,7.0,190,36
2021-09-18 00:00:00+00:00,19.0,4.0,62,22
2021-09-19 00:00:00+00:00,70.0,6.0,64,20
2021-09-20 00:00:00+00:00,166.0,5.0,249,47
2021-09-21 00:00:00+00:00,64.0,7.0,105,42
2021-09-22 00:00:00+00:00,2.0,2.0,142,36
2021-09-23 00:00:00+00:00,2.0,2.0,344,47
2021-09-24 00:00:00+00:00,93.0,7.0,210,31
2021-09-25 00:00:00+00:00,4.0,4.0,40,18
2021-09-26 00:00:00+00:00,1.0,1.0,48,19
2021-09-27 00:00:00+00:00,,,112,39
2021-09-28 00:00:00+00:00,220.0,7.0,252,54
2021-09-29 00:00:00+00:00,78.0,6.0,227,70
